"","tail","head","value"
"163",9,36,0.01750738
"164",9,38,0.001215759
"165",9,39,0.001789381
"166",9,40,0.0004819308
"167",9,42,0.003833675
"168",9,43,0.01004736
"169",9,45,0.0003855188
"170",9,49,0.0003441769
"171",9,51,0.001030767
"172",9,52,2.397879e-07
"173",9,56,1.815429e-06
"174",9,57,1.13243e-09
"175",9,58,4.691518e-06
"176",9,61,5.226878e-08
"177",9,63,1.615539e-05
"178",9,64,0.09994257
"179",9,66,0.1889512
"180",10,5,0.7174525
"181",10,8,0.0262002
"182",10,9,0.003273485
"183",10,11,0.01108591
"184",10,12,0.04804655
"185",10,16,0.004152004
"186",10,17,0.003280477
"187",10,18,0.01716434
"188",10,20,0.05172484
"189",10,21,0.0425341
"190",10,22,0.03784418
"191",10,23,0.03418035
"192",10,24,0.00613321
"193",10,25,0.004498219
"194",10,26,0.001222773
"195",10,27,0.03282566
"196",10,28,0.049048
"197",10,29,0.1204628
"198",10,30,0.02999161
"199",10,31,0.001533087
"200",10,32,0.009705959
"201",10,33,0.01723829
"202",10,34,0.0007266128
"203",10,35,0.00011401
"204",10,37,0.0006117188
"205",10,38,0.01031012
"206",10,39,0.01517468
"207",10,40,0.004086969
"208",10,42,0.03251112
"209",10,43,0.1151585
"210",10,45,0.003269354
"211",10,49,0.002918756
"212",10,51,0.008741319
"213",10,52,2.0335e-06
"214",10,56,1.53956e-05
"215",10,57,9.603447e-09
"216",10,58,3.978599e-05
"217",10,61,4.432599e-07
"218",10,62,2.120889e-05
"219",10,63,0.000137004
"220",10,64,1.06676
"221",10,66,1.290145
"222",11,8,0.01783092
"223",11,9,0.001774791
"224",11,12,0.03831523
"225",11,15,0.000124
"226",11,16,0.002263106
"227",11,17,0.005698589
"228",11,18,0.02378128
"229",11,20,0.06918392
"230",11,21,0.04319864
"231",11,22,0.1178411
"232",11,23,0.03335199
"233",11,25,0.003086043
"234",11,26,0.001627738
"235",11,27,0.02768201
"236",11,28,0.05568821
"237",11,29,0.1951698
"238",11,30,0.04582348
"239",11,31,0.001554967
"240",11,32,0.02053444
"241",11,33,0.02341303
"242",11,34,0.000857337
"243",11,35,8.37372e-05
"244",11,36,0.005433328
"245",11,39,0.008720232
"246",11,40,0.002348604
"247",11,42,0.01868273
"248",11,43,0.06617656
"249",11,45,0.001878756
"250",11,49,0.001677283
"251",11,51,0.005023257
"252",11,52,1.16856e-06
"253",11,56,8.84717e-06
"254",11,57,5.51868e-09
"255",11,58,2.28633e-05
"256",11,59,4.34364e-07
"257",11,61,2.54723e-07
